id,frame,q,a
1110,30,임시정부 수립 전 대한민국에 확립된 정신은 무엇입니까?,1110
1111,26,임시정부 안에서 나뉜 파는 무엇이 있나요?,1111
1112,30,임시정부의 나아갈 방향을 위해 열린 회의는 무엇인가요?,1112
1113,29,윤봉길 의사와는 어떻게 만나게 되었나요?,1113
1114,30,윤봉길은 독립운동을 준비 기간동안 무엇을 했나요?,1114
1115,24,자신의 정체를 숨기기 위해 어떤 변화를 주었나요?,1115
1116,20,대한독립을 위해 했던 대표적인 활약은 무엇이 있나요?,1116
1117,25,폭탄 투척으로 체포된 후 어떤 판결을 받았나요?,1117
1118,30,사형 집행 당시 윤봉길의 나이는 몇 세였나요?,1118
1119,30,윤봉길 의사가 그와 시계를 바꾼 이유는 무엇인가요?,1119
1120,30,훗날 유봉길 의사의 유해는 어디서 발견되었나요?,1120
1121,30,윤봉길 의사의 묘지는 어디에 있나요?,1121
1122,30,윤봉길 의사의 장례는 어떤 방식으로 치뤄졌나요?,1122
1123,26,이봉창은 어떤 활동을 하신 분 인가요?,1123
1124,30,이봉창이 일본천왕에게 수류탄을 던진 사건은 무엇인가요?,1124
1125,40,이봉창과 마지막으로 사진을 찍을 때 무슨 이야기를 나눴습니까?,1125
1126,20,이봉창은 임시정부를 어떻게 알게 되었습니까?,1126
1127,23,이봉창을 처음 본 임시정부 관계자들의 반응은 어땠나요?,1127
1128,30,임시정부에서 이봉창의 별명은 무엇이었나요?,1128
1129,26,이봉창 주변에 일본 지인들이 많았나요?,1129
1130,36,이봉창 의사의 폭탄 투척은 목적을 달성했나요?,1130
1131,30,사쿠라다몬 사건에 대한 중국 반응은 어땠나요?,1131
1132,25,이봉창의 사망은 언제였나요?,1132
1133,30,나석주는 어떤 인물인가요?,1133
1134,50,국가등록문화재로 등록된 나석주의 편지는 어떤 것입니까?,1134
1135,30,나석주와 마지막 만남은 어떠했나요?,1135
1136,26,나석주가 독립운동을 시작한 계기는 무엇인가요?,1136
1137,24,독립운동 전 나석주는 무슨 일을 하였나요?,1137
1138,30,3.1운동 당시 나석주는 어떤 활동을 하였나요?,1138
1139,33,나석주의 유언은 무엇이었나요?,1139
1140,30,나석주는 어떻게 사망하였나요?,1140
1141,20,나석주는 몇 세의 나이로 사망하였나요?,1141
1142,30,나석주의 순국 후 어떤 반응을 보였나요?,1142
1143,21,대한민국 임시정부는 무엇인가요?,1143
1144,28,대한민국 임시정부는 왜 중국에 세웠나요?,1144
1145,38,중국까지는 어떻게 갔나요?,1145
1146,43,대한민국 임시정부는 어떠한 일을 하였나요?,1146
1147,40,대한민국 임시정부에서 어떠한 활동을 하였나요?,1147
1148,27,한인애국단은 왜 만들었나요?,1148
1149,23,한인애국단에는 어떠한 분들이 활동하셨나요?,1149
1150,29,이봉창의사는 어떠한 분인가요?,1150
1151,30,윤봉길의사는 어떠한 분인가요?,1151
1152,40,한국광복군을 만든 이유는 무엇인가요?,1152
1153,27,한국광복군은 어떠한 활동을 하였나요?,1153
1154,31,광복 소식을 들었을 때 어떠셨나요?,1154
1155,31,광복 이후 대한민국임시정부는 어떻게 되었나요?,1155
1156,37,독립운동이 힘들지 않았나요?,1156
1157,29,왜 독립운동을 하셨나요?,1157
1158,28,처음 백범일지를 쓰기로 결심한 이유는 무엇인가요?,1158
1159,28,백범의 뜻은 무엇인가요?,1159
1160,26,백범일지는 일기인가요?,1160
1161,40,백범일지는 언제 출판되었나요?,1161
1162,36,현재 백범일지의 저작권은 어떻게 되었나요?,1162
1163,39,백범일지를 쓰면서 어려웠던 점은 없었나요?,1163
1164,38,백범일지 속 <나의 소원>은 무엇인가요?,1164
1165,30,통일은 왜 해야하나요?,1165
1166,30,통일이 되면 무엇이 좋은가요?,1166
1167,30,통일을 위해 어떠한 일을 하셨나요?,1167
1168,30,북에는 누구와 갔나요?,1168
1169,47,북으로 간다고 했을때 사람들의 반응은 어떠했나요?,1169
1170,32,남북협상에서 어떠한 이야기를 하셨나요?,1170
1171,38,각각의 단독정부가 수립되었을 때 어떠한 기분이었나요?,1171
1172,32,언제쯤 통일이 될까요?,1172
1173,40,통일이 된다면 무엇을 하고 싶으세요?,1173
1174,28,서거하신 날짜는 언제인가요?,1174
1175,30,어디에서 돌아가셨나요?,1175
1176,30,위험에 대해서는 알고 계셨나요?,1176
1177,30,선생님을 돌아가시게 한 사람은 누구인가요?,1177
1178,33,안두희는 왜 그런 일을 하였나요?,1178
1179,28,선생님이 돌아가신 이후 안두희는 어떻게 되었나요?,1179
1180,25,장례는 어떻게 치러졌나요?,1180
1181,25,얼마나 많은 사람들이 장례식에 참석하였나요?,1181
1182,37,경교장은 이후 어떻게 사용되었나요,1182
1183,26,독립운동,1183
1184,32,독립운동,1184
1185,28,독립운동,1185
1186,28,백범일지,1186
1187,26,백범일지,1187
1188,28,백범일지,1188
1189,21,통일운동,1189
1190,25,통일운동,1190
1191,42,통일운동,1191
1192,42,서거,1192
1193,34,서거,1193
1194,38,서거,1194
1195,33,독립운동,1195
1196,35,독립운동,1196
1197,40,독립운동,1197
1198,36,백범일지,1198
1199,40,백범일지,1199
1200,40,백범일지,1200
1201,30,통일운동,1201
1202,33,통일운동,1202
1203,43,통일운동,1203
1204,42,서거,1204
1205,43,서거,1205
1206,40,서거,1206
